??电视公告,#genre#

温馨提醒,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8$官方源??

接口免费,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8$官方源

拒绝收费,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8$官方

如已付费,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8$官方

申请退费,https://gitee.com/tv2785/iptv/raw/master/ad.mp4

更新2024-10-13,https://gitee.com/tv2785/iptv/raw/master/ad.mp4

已运行328天,https://gitee.com/tv2785/iptv/raw/master/ad.mp4

星光视界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv

金马影院,http://pull.kktv8.com/livekktv/128600025.flv


??中央电视,#genre#

CCTV1综合,http://117.72.68.25:9930/migu.php?id=cctv1$咪咕直播

CCTV2财经,http://117.72.68.25:9930/migu.php?id=cctv2$咪咕直播

CCTV3综艺,http://117.72.68.25:9930/migu.php?id=cctv3$咪咕直播

CCTV4中文国际,http://117.72.68.25:9930/migu.php?id=cctv4$咪咕直播

CCTV4美洲,http://117.72.68.25:9930/migu.php?id=cctv4a$咪咕直播

CCTV4欧洲,http://117.72.68.25:9930/migu.php?id=cctv4o$咪咕直播

CCTV5体育,http://117.72.68.25:9930/migu.php?id=cctv5$咪咕直播

CCTV5+体育赛事,http://117.72.68.25:9930/migu.php?id=cctv5p$咪咕直播
CCTV6电影,http://117.72.68.25:9930/migu.php?id=cctv6$咪咕直播
CCTV7国防军事,http://117.72.68.25:9930/migu.php?id=cctv7$咪咕直播
CCTV8电视剧,http://117.72.68.25:9930/migu.php?id=cctv8$咪咕直播
CCTV9纪录,http://117.72.68.25:9930/migu.php?id=cctv9$咪咕直播
CCTV10科教,http://117.72.68.25:9930/migu.php?id=cctv10$咪咕直播
CCTV11戏曲,http://117.72.68.25:9930/migu.php?id=cctv11$咪咕直播
CCTV12社会与法,http://117.72.68.25:9930/migu.php?id=cctv12$咪咕直播
CCTV13新闻,http://117.72.68.25:9930/migu.php?id=cctv13$咪咕直播
CCTV14少儿,http://117.72.68.25:9930/migu.php?id=cctv14$咪咕直播
